"Year","DOY","Sensor"
2009,001,7
2009,009,5
2009,017,7
2009,025,5
2009,033,7
2009,041,5
2009,049,7
2009,057,5
2009,065,7
2009,073,5
2009,081,7
2009,089,5
2009,097,7
2009,105,5
2009,113,7
2009,121,5
2009,129,7
2009,137,5
2009,145,7
2009,153,5
2009,161,7
2009,169,5
2009,177,7
2009,185,5
2009,193,7
2009,201,5
2009,209,7
2009,217,5
2009,225,7
2009,233,5
2009,241,7
2009,249,5
2009,257,7
2009,265,5
2009,273,7
2009,281,5
2009,289,7
2009,297,5
2009,305,7
2009,313,5
2009,321,7
2009,329,5
2009,337,7
2009,345,5
2009,353,7
2010,004,7
2010,012,5
2010,020,7
2010,028,5
2010,036,7
2010,044,5
2010,052,7
2010,060,5
2010,068,7
2010,076,5
2010,084,7
2010,092,5
2010,100,7
2010,108,5
2010,116,7
2010,124,5
2010,132,7
2010,140,5
2010,148,7
2010,156,5
2010,164,7
2010,172,5
2010,180,7
2010,188,5
2010,196,7
2010,204,5
2010,212,7
2010,220,5
2010,228,7
2010,236,5
2010,244,7
2010,252,5
2010,260,7
2010,268,5
2010,276,7
2010,284,5
2010,292,7
2010,308,7
2010,316,5
2010,324,7
2010,332,5
2010,340,7
2010,348,5
2010,356,7
2010,364,5
2011,007,7
2011,015,5
2011,023,7
2011,031,5
2011,039,7
2011,047,5
2011,055,7
2011,063,5
2011,071,7
2011,079,5
2011,087,7
2011,095,5
2011,103,7
2011,111,5
2011,119,7
2011,127,5
2011,135,7
2011,143,5
2011,151,7
2011,159,5
2011,167,7
2011,175,5
2011,183,7
2011,191,5
2011,199,7
2011,207,5
2011,223,5
2011,231,7
2011,239,5
2011,247,7
2011,255,5
2011,263,7
2011,271,5
2011,279,7
2011,287,5
2011,295,7
2011,303,5
2011,311,7
2011,319,5
2011,327,7
2011,343,7
2011,359,7
2012,010,7
2012,026,7
2012,042,7
2012,058,7
2012,074,7
2012,090,7
2012,106,7
2012,122,7
2012,138,7
2012,154,7
2012,170,7
2012,186,7
2012,202,7
2012,218,7
2012,234,7
2012,250,7
2012,266,7
2012,282,7
2012,298,7
2012,314,7
2012,330,7
2012,346,7
2012,362,7
2013,012,7
2013,028,7
2013,044,7
2013,060,7
2013,076,7
2013,092,7
2013,108,7
2013,124,7
2013,140,7
2013,156,7
2013,172,7
2013,188,7
2013,204,7
2013,220,7
2013,236,7
2013,252,7
2013,268,7
2013,284,7
2013,300,7
2013,316,7
2013,332,7
2013,348,7
2013,364,7
2014,015,7
2014,031,7
2014,047,7
2014,063,7
2014,079,7
2014,095,7
2014,111,7
2014,127,7
2014,143,7
2014,159,7
2014,175,7
2014,191,7
2014,207,7
2014,223,7
2014,239,7
2014,255,7
2014,287,7
2014,303,7
2014,319,7
2014,335,7
